24-10-29 02:11:26.340 [restartedMain] INFO  c.d.journalApp.JournalApplication - Starting JournalApplication using Java 17.0.2 with PID 10755 (/Users/devsa/Documents/Sprint Boot/Projects/journalApp/target/classes started by devsa in /Users/devsa/Documents/Sprint Boot/Projects/journalApp)
24-10-29 02:11:27.530 [restartedMain] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "15.0.1"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='devpanwar', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@2364b1d8, com.mongodb.Jep395RecordCodecProvider@790a4269, com.mongodb.KotlinCodecProvider@55455b5a]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.re3e6.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-b2d2sm-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
24-10-29 02:11:27.570 [cluster-ClusterId{value='671ff6f73ee1067b14436c7b', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.re3e6.mongodb.net:27017 to client view of cluster
24-10-29 02:11:27.580 [cluster-ClusterId{value='671ff6f73ee1067b14436c7b', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.re3e6.mongodb.net:27017 to client view of cluster
24-10-29 02:11:27.583 [cluster-ClusterId{value='671ff6f73ee1067b14436c7b', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.re3e6.mongodb.net:27017 to client view of cluster
24-10-29 02:11:27.613 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
24-10-29 02:11:27.667 [restartedMain] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-01.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
24-10-29 02:11:28.151 [cluster-ClusterId{value='671ff6f73ee1067b14436c7b', description='Cluster0'}-cluster0-shard-00-02.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.re3e6.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=257121167, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-02.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000258, setVersion=135, topologyVersion=TopologyVersion{processId=671cae311f1820bec325f44e, counter=6}, lastWriteDate=Tue Oct 29 02:11:28 IST 2024, lastUpdateTimeNanos=32847699682375}
24-10-29 02:11:28.151 [cluster-ClusterId{value='671ff6f73ee1067b14436c7b', description='Cluster0'}-cluster0-shard-00-00.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.re3e6.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=263465042, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-00.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=135, topologyVersion=TopologyVersion{processId=671caee6df0b1aeeb2e93660, counter=4}, lastWriteDate=Tue Oct 29 02:11:28 IST 2024, lastUpdateTimeNanos=32847699617375}
24-10-29 02:11:28.151 [cluster-ClusterId{value='671ff6f73ee1067b14436c7b', description='Cluster0'}-cluster0-shard-00-01.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.re3e6.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=263457542, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-01.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=135, topologyVersion=TopologyVersion{processId=671cb053bcea1499b9281194, counter=3}, lastWriteDate=Tue Oct 29 02:11:28 IST 2024, lastUpdateTimeNanos=32847699628208}
24-10-29 02:11:28.152 [cluster-ClusterId{value='671ff6f73ee1067b14436c7b', description='Cluster0'}-cluster0-shard-00-02.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.re3e6.mongodb.net:27017 with max election id 7fffffff0000000000000258 and max set version 135
24-10-29 02:11:28.843 [restartedMain] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
24-10-29 02:11:29.015 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
24-10-29 02:11:29.022 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
24-10-29 02:11:29.027 [restartedMain] INFO  c.d.journalApp.JournalApplication - Started JournalApplication in 2.897 seconds (process running for 3.263)
24-10-29 02:11:42.361 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.devpanwar.journalApp.JournalAppApplicationTests]: JournalAppApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
24-10-29 02:11:42.411 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.devpanwar.journalApp.JournalApplication for test class com.devpanwar.journalApp.JournalAppApplicationTests
24-10-29 02:11:42.469 [main] INFO  o.s.b.d.r.RestartApplicationListener - Restart disabled due to context in which it is running
24-10-29 02:11:42.592 [main] INFO  c.d.j.JournalAppApplicationTests - Starting JournalAppApplicationTests using Java 17.0.2 with PID 10761 (started by devsa in /Users/devsa/Documents/Sprint Boot/Projects/journalApp)
24-10-29 02:11:42.593 [main] INFO  c.d.j.JournalAppApplicationTests - The following 1 profile is active: "dev"
24-10-29 02:11:42.875 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
24-10-29 02:11:42.900 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 21 ms. Found 3 MongoDB repository interfaces.
24-10-29 02:11:43.156 [main] INFO  org.mongodb.driver.client - MongoClient with metadata {"application": {"name": "Cluster0"}, "driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "5.0.1"}, "os": {"type": "Darwin", "name": "Mac OS X", "architecture": "aarch64", "version": "15.0.1"}, "platform": "Java/Oracle Corporation/17.0.2+8-LTS-86"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='devpanwar', source='admin', password=<hidden>, mechanismProperties=<hidden>}, transportSettings=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3292d91a, com.mongodb.Jep395RecordCodecProvider@5921b93c, com.mongodb.KotlinCodecProvider@faea4da]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.re3e6.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-b2d2sm-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='Cluster0', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
24-10-29 02:11:43.211 [cluster-ClusterId{value='671ff707667fa91321dc3078', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-01.re3e6.mongodb.net:27017 to client view of cluster
24-10-29 02:11:43.221 [cluster-ClusterId{value='671ff707667fa91321dc3078', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-00.re3e6.mongodb.net:27017 to client view of cluster
24-10-29 02:11:43.223 [cluster-ClusterId{value='671ff707667fa91321dc3078', description='Cluster0'}-srv-cluster0.re3e6.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server cluster0-shard-00-02.re3e6.mongodb.net:27017 to client view of cluster
24-10-29 02:11:43.280 [main] INFO  org.mongodb.driver.cluster - Waiting for server to become available for operation with ID 1. Remaining time: 30000 ms. Selector: WritableServerSelector, topology description: {type=REPLICA_SET, servers=[{address=cluster0-shard-00-01.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-00.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, {address=cluster0-shard-00-02.re3e6.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}].
24-10-29 02:11:43.613 [cluster-ClusterId{value='671ff707667fa91321dc3078', description='Cluster0'}-cluster0-shard-00-01.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-01.re3e6.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=247868083, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-01.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=135, topologyVersion=TopologyVersion{processId=671cb053bcea1499b9281194, counter=3}, lastWriteDate=Tue Oct 29 02:11:43 IST 2024, lastUpdateTimeNanos=32863162953041}
24-10-29 02:11:43.613 [cluster-ClusterId{value='671ff707667fa91321dc3078', description='Cluster0'}-cluster0-shard-00-02.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-02.re3e6.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=234791041, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-02.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000258, setVersion=135, topologyVersion=TopologyVersion{processId=671cae311f1820bec325f44e, counter=6}, lastWriteDate=Tue Oct 29 02:11:43 IST 2024, lastUpdateTimeNanos=32863162953875}
24-10-29 02:11:43.613 [cluster-ClusterId{value='671ff707667fa91321dc3078', description='Cluster0'}-cluster0-shard-00-00.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=cluster0-shard-00-00.re3e6.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=234918417, setName='atlas-b2d2sm-shard-0', canonicalAddress=cluster0-shard-00-00.re3e6.mongodb.net:27017, hosts=[cluster0-shard-00-00.re3e6.mongodb.net:27017, cluster0-shard-00-01.re3e6.mongodb.net:27017, cluster0-shard-00-02.re3e6.mongodb.net:27017], passives=[], arbiters=[], primary='cluster0-shard-00-02.re3e6.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=135, topologyVersion=TopologyVersion{processId=671caee6df0b1aeeb2e93660, counter=4}, lastWriteDate=Tue Oct 29 02:11:43 IST 2024, lastUpdateTimeNanos=32863162960250}
24-10-29 02:11:43.615 [cluster-ClusterId{value='671ff707667fa91321dc3078', description='Cluster0'}-cluster0-shard-00-02.re3e6.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary cluster0-shard-00-02.re3e6.mongodb.net:27017 with max election id 7fffffff0000000000000258 and max set version 135
24-10-29 02:11:44.287 [main] WARN  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with an AuthenticationProvider bean. UserDetailsService beans will not be used for username/password login. Consider removing the AuthenticationProvider bean. Alternatively, consider using the UserDetailsService in a manually instantiated DaoAuthenticationProvider.
24-10-29 02:11:44.524 [main] INFO  c.d.j.JournalAppApplicationTests - Started JournalAppApplicationTests in 2.058 seconds (process running for 2.56)
